Time,Behavior,Comment
293.447,Straight swim,
311.315,Rturn,
314.265,Feed,
315.065,Out of water,
317.215,Lturn,
335.14,Straight swim,
345.315,Out of water,
348.04,Straight swim,
354.785,Lturn,
357.14,Feed,
364.16,Lturn while feed,
368.614,Out of water,
376.261,Straight swim,
378.638,Swallow,
380.04,Swallow,
381.638,Swallow,
383.989,Straight swim,
411.235,Feed,
416.465,Out of water,
422.788,Feed,
454.561,Rturn while feed,
461.765,Swallow,
463.661,Swallow,
464.485,Swallow,
466.038,Swallow,
468.14,Rturn,
478.742,Feed,
489.485,Rturn while feed,
499.338,Straight swim,
582.639,Feed,
594.29,Straight swim,
702.695,Lturn,
713.643,Rturn,
719.971,Straight swim,
735.172,Lturn,
741.472,Straight swim,
756.117,Rturn,
779.147,Straight swim,
789.075,Lturn while feed,
790.496,Feed,
794.677,Feed,
795.478,Out of water,
803.45,Feed,
834.1,Rturn while feed,
843.825,Feed,
866.279,Out of water,
872.479,Swallow,
873.779,Swallow,
875.126,Swallow,
876.252,Rturn,
883.427,Straight swim,
893.578,Feed,
927.725,Straight swim,
939.825,Feed,
963.949,Out of water,
975.048,Swallow,
976.12,Swallow,
977.95,Feed,
980.371,Rturn while feed,
985.675,Feed,
987.947,Lturn while feed,
994.021,Straight swim,
997.2,Lturn,
1000.121,Swallow,
1001.147,Swallow,
1003.271,Feed,
1016.866,Rturn,
1025.312,Feed,
1088.016,Rturn while feed,
1100.541,Swallow,
1101.611,Swallow,
1103.165,Swallow,
1105.337,Swallow,
1107.39,Rturn,
1115.845,Straight swim,
1128.588,Straight swim,
1134.615,Feed,
1160.812,Rturn,
1165.789,Straight swim,
1171.341,Straight swim,
1372.172,Lturn,
1385.497,Straight swim,
1422.444,Feed,
1447.173,Swallow,
1450.219,Swallow,
1451.848,Swallow,
1455.072,Straight swim,
1549.845,Feed,
1567.699,Straight swim,
1571.147,Feed,
1575.872,Straight swim,
1642.397,Feed,
1656.171,Straight swim,
1669.862,Feed,
1670.299,Feed,
1674.39,Straight swim,
1679.573,Straight swim,
1683.737,Feed,
1683.925,Feed,
1726.51,Straight swim,
1732.365,Swallow,
1733.665,Swallow,
1735.262,Swallow,
1738.239,Swallow,
1740.863,Straight swim,
1808.554,Rturn while feed,
1811.205,Feed,
1820.478,Lturn while feed,
1828.001,Feed,
1835.255,Lturn while feed,
1837.401,Out of water,
1844.526,Straight swim,
1852.327,Feed,
1854.454,Lturn while feed,
1860.73,Feed,
1862.626,Out of water,
1893.578,Swallow,
1894.604,Swallow,
1898.93,Feed,
1905.555,Out of water,
1914.476,Feed,
1919.779,Straight swim,
1934.641,Feed,
1935.678,Out of water,
1953.203,Feed,
1964.155,Out of water,
1976.879,Rturn,
1980.002,Swallow,
1981.279,Swallow,
1982.603,Swallow,
1984.45,Swallow,
1986.33,Rturn,
1991.68,Out of water,
2000.755,Rturn,
2013.23,Feed,
2015.63,Out of water,
2045.805,Out of water,
2071.752,Feed,
2075.455,Out of water,
2092.427,Lturn while feed,
2100.228,Feed,
2102.38,Out of water,
2111.926,Lturn while feed,
2119.652,Feed,
2128.003,Out of water,
2138.476,Feed,
2144.055,Rturn while feed,
2148.477,Swallow,
2149.552,Swallow,
2150.904,Swallow,
2151.98,Swallow,
2154.125,Rturn,
2155.676,Rturn while feed,
2158.125,Out of water,
2166.476,Rturn,
2169.404,Rturn,
2184.33,Straight swim,
2196.055,Feed,
2216.677,Straight swim,
2220.128,Feed,
2230.454,Lturn while feed,
2236.575,Lturn while feed,
2241.362,Out of water,
2248.286,Straight swim,
2249.638,Swallow,
2251.067,Swallow,
2252.635,Swallow,
2254.836,Feed,
2265.16,Straight swim,
2268.912,Feed,
2276.112,Lturn while feed,
2281.887,Straight swim,
2283.183,Straight swim,
2288.987,Feed,
2294.008,Straight swim,
2301.891,Straight swim,
2314.885,Rturn,
2327.081,Straight swim,
2404.586,Feed,
2428.53,Rturn while feed,
2451.08,Feed,
2467.104,Out of water,
2475.675,Lturn while feed,
2488.954,Feed,
2497.778,Feed,
2520.127,Feed,
2524.854,Out of water,
2537.801,Feed,
2544.629,Out of water,
2552.878,Swallow,
2553.705,Swallow,
2554.829,Swallow,
2556.154,Swallow,
2557.504,Swallow,
2559.426,Feed,
2567.266,Out of water,
2579.466,Feed,
