Time,Behavior,Comment
125.849,Straight swim,
126.996,Left turn,
133.099,Right turn,
139.226,Left turn,
148.075,Right turn,
156.701,Straight swim,
159.1,Left turn,
162,Straight swim,
163.326,Right turn,
166.024,Straight swim,
167.039,Left turn,
172.899,Straight swim,
173.874,Right turn,
179.651,Straight swim,
183.151,Right turn,
184.15,Feed,
194.475,Right turn,
196.226,Feed,
207.476,Right turn,
218,Straight swim,
219.301,Swallow,
220.374,Swallow,
221.35,Swallow,
223.3,Feed,
224.575,Straight swim,
226.876,Feed,
228.525,Lturn while feed,
230.101,Out of water,
232.675,Out of water,
233.874,Straight swim,
238.026,Feed,
239.475,Lturn while feed,
242.075,Feed,
247.774,Rturn while feed,
249.049,Feed,
250,Right turn,
252.301,Straight swim,
253.448,Right turn,
254.674,Straight swim,
256.156,Right turn,
256.983,Left turn,
258.986,Feed,
262.356,Lturn while feed,
263.482,Feed,
266.816,Rturn while feed,
271.407,Feed,
276.133,Rturn while feed,
278.656,Feed,
290.682,Straight swim,
292.257,Swallow,
292.983,Swallow,
294.256,Swallow,
295.257,Swallow,
296.558,Swallow,
298.356,Feed,
305.001,Right turn,
309.426,Straight swim,
311.927,Left turn,
312.227,Out of water,
313.676,Straight swim,
338.477,Right turn,
344.002,Right turn,
346.975,Straight swim,
354.252,Left turn,
362.052,Right turn,
363.65,Straight swim,
364.834,Right turn,
370.259,Straight swim,
371.075,Feed,
376.835,Rturn while feed,
380.085,Right turn,
381.109,Right turn,
385.385,Straight swim,
396.126,Swallow,
397.126,Feed,
399.5,Lturn while feed,
400.524,Out of water,
401.499,Feed,
407.054,Rturn while feed,
408.7,Feed,
417.852,Rturn while feed,
419.724,Feed,
423.725,Feed,
426.324,Feed,
431.351,Rturn while feed,
434.205,Feed,
437.901,Out of water,
438.876,Out of water,
439.826,Feed,
442.7,Feed,
445.649,Feed,
452.051,Out of water,
453.874,Out of water,
454.158,Feed,
457.45,Rturn while feed,
460.5,Feed,
467.975,Rturn while feed,
474.276,Feed,
478.926,Lturn while feed,
481.475,Feed,
486.875,Lturn while feed,
489.276,Rturn while feed,
492.275,Feed,
496.651,Swallow,
497.876,Swallow,
498.726,Swallow,
499.55,Swallow,
500.401,Swallow,
501.15,Feed,
503.251,Rturn while feed,
508.426,Feed,
509.126,Lturn while feed,
511.075,Out of water,
515.076,Feed,
515.076,Out of water,
516.924,Rturn while feed,
524.126,Rturn while feed,
526.251,Rturn while feed,
527.351,Feed,
537.2,Rturn while feed,
538.476,Feed,
544.776,Straight swim,
546.224,Swallow,
547.175,Swallow,
548.299,Swallow,
549.4,Swallow,
550.901,Swallow,
552.176,Right turn,
554.101,Right turn,
554.949,Right turn,
562.474,Straight swim,
586.251,Feed,
591.499,Lturn while feed,
594.5,Feed,
601.206,Straight swim,
603.708,Right turn,
609.183,Right turn,
610.457,Right turn,
614.657,Swallow,
615.98,Swallow,
617.53,Straight swim,
