"","Pressure","Sway","Surge","Heave","Acc2.1","Acc2.2","Acc2.3","Light","Temperature","ODBA","chron","Behavior","comments","feeding"
"294",0.408243849999998,-0.05078125,0.05078125,0.638671875,636,-88,15112,3500,16.25,293.3333333,19:21:38,"Straight swim",NA,0
"295",0.378788329999999,0.01171875,0.087890625,0.6328125,484,-2408,15364,3500,16.1875,432,19:21:39,"Straight swim",NA,0
"296",0.3914823,-0.08203125,-0.0546875,0.61328125,1572,816,15080,3500,16.1875,394.6666667,19:21:40,"Straight swim",NA,0
"297",0.401379410000001,-0.076171875,-0.05859375,0.62109375,1156,1064,15004,3500,16.1875,-74.66666667,19:21:41,"Straight swim",NA,0
"298",0.389340440000002,-0.095703125,-0.095703125,0.59375,1808,1640,14520,3500,16.1875,-16,19:21:42,"Straight swim",NA,0
"299",0.320859799999997,-0.080078125,0.009765625,0.619140625,1628,340,14308,3500,16.1875,-352,19:21:43,"Straight swim",NA,0
"300",0.259426990000001,-0.13671875,-0.107421875,0.5859375,2420,1200,14820,3500,16.1875,320,19:21:44,"Straight swim",NA,0
"301",0.183656159999998,-0.09765625,-0.26953125,0.55078125,1892,4552,14084,3500,16.1875,-597.3333333,19:21:45,"Straight swim",NA,0
"302",0.134236120000001,-0.04296875,-0.015625,0.666015625,892,436,16024,3500,16.1875,1205.333333,19:21:46,"Straight swim",NA,0
"303",0.0733600699999997,0.013671875,0.22265625,0.66796875,-96,-2952,15836,3500,16.1875,106.6666667,19:21:47,"Straight swim",NA,0
"304",0.120042189999999,-0.0078125,0.24609375,0.578125,160,-5504,14392,3500,16.25,613.3333333,19:21:48,"Straight swim",NA,0
"305",0.0936520899999991,-0.001953125,0.123046875,0.58984375,260,-1672,14444,3500,16.25,37.33333333,19:21:49,"Straight swim",NA,0
"306",0.113118799999999,0.021484375,0.13671875,0.517578125,-200,-1944,13192,3500,16.25,-437.3333333,19:21:50,"Straight swim",NA,0
"307",0.103994600000004,0.052734375,0.107421875,0.603515625,-816,-1940,14724,3500,16.25,-80,19:21:51,"Straight swim",NA,0
"308",0.199821650000001,0.05078125,-0.0859375,0.53125,-1432,1844,14396,3500,16.25,-362.6666667,19:21:52,"Straight swim",NA,0
"309",0.380150740000001,0.087890625,-0.158203125,0.59375,-1756,2764,14560,3500,16.25,48,19:21:53,"Straight swim",NA,0
"310",0.555442849999999,0.142578125,-0.037109375,0.578125,-2180,460,14384,3500,16.25,-32,19:21:54,"Straight swim",NA,0
"311",0.784216019999999,0.16015625,0.07421875,0.646484375,-2464,-632,15176,3500,16.25,357.3333333,19:21:55,"Straight swim",NA,0
"312",0.9367664,0.06640625,-0.05078125,0.609375,-1548,1488,15140,3500,16.25,170.6666667,19:21:56,"Rturn",NA,0
"313",1.06082412,0.0078125,-0.248046875,0.61328125,56,4304,13964,3500,16.1875,5.333333333,19:21:57,"Rturn",NA,0
"314",1.17240401,0.03515625,-0.1171875,0.591796875,-496,2092,14432,3500,16.1875,485.3333333,19:21:58,"Rturn",NA,0
"315",1.22895704,0.02734375,0.087890625,0.642578125,-544,-1256,15460,3500,16.1875,-53.33333333,19:21:59,"Feed",NA,1
"318",1.21249679,-0.154296875,-0.357421875,0.560546875,2584,5312,13644,3500,16.125,224,19:22:02,"Lturn",NA,0
"319",1.23523852,-0.10546875,-0.123046875,0.587890625,2064,2720,14920,3500,16.125,42.66666667,19:22:03,"Lturn",NA,0
