"","Time","Pressure","Compass1","Compass2","Compass3","AccelSway","Sway.g.","AccelSurge","Surge.g.","AccelHeave","Heave.g.","Temperature","Gyro1","Gyro2","Gyro3","Accel1","Accel2","Accel3","Temp2","Light","TempExt","ODBA","Time","Behavior","Comments","feeding"
"126",19.81683333,-0.6643839742,-613,227,371,1360,0.166015625,-560,-0.068359375,-7664,-0.935546875,896,129,-113,69,-2660,1820,-15992,62496,781,20.5,0.006510417,19:49:10,"Straight swim",NA,0
"127",19.81685,-0.6526718157,-631,226,387,1680,0.205078125,-1472,-0.1796875,-7760,-0.947265625,896,-101,89,161,-3428,4112,-15060,62512,833,20.5625,-0.00390625,19:49:11,"Left turn",NA,0
"128",19.81686667,-0.6535687222,-628,233,401,704,0.0859375,-608,-0.07421875,-8048,-0.982421875,896,65,-2,293,-1680,1524,-15836,62480,913,20.5625,-0.022786458,19:49:12,"Left turn",NA,0
"129",19.81688333,-0.6380463479,-623,230,399,176,0.021484375,-912,-0.111328125,-8464,-1.033203125,896,-173,-51,59,-424,2820,-17012,62496,1155,20.5625,-0.041015625,19:49:13,"Left turn",NA,0
"130",19.8169,-0.6493002329,-632,219,414,1296,0.158203125,-1216,-0.1484375,-7904,-0.96484375,896,321,60,684,-2188,3100,-13480,62528,838,20.625,0.0703125,19:49:14,"Left turn",NA,0
"131",19.81691667,-0.6368221032,-623,230,409,-640,-0.078125,1968,0.240234375,-7008,-0.85546875,896,-173,-32,8,-36,-3964,-15440,62560,942,20.625,0.124348958,19:49:15,"Left turn",NA,0
"132",19.81693333,-0.653961528,-611,220,403,-848,-0.103515625,-1200,-0.146484375,-6128,-0.748046875,896,-294,-62,-386,1520,2612,-11620,62560,798,20.625,0.072916667,19:49:16,"Left turn",NA,0
"133",19.81695,-0.631447211,-694,177,508,5040,0.615234375,-3840,-0.46875,-7008,-0.85546875,896,-833,18,-143,-11108,8540,-14444,62528,637,20.625,0.074869792,19:49:17,"Left turn",NA,0
"134",19.81696667,-0.6388188659,83,237,1162,3600,0.439453125,-1968,-0.240234375,-6448,-0.787109375,896,50,36,415,-6424,1924,-11456,62528,819,20.625,-0.016276042,19:49:18,"Right turn",NA,0
"135",19.81698333,-0.6294308081,96,246,1174,3696,0.451171875,-2160,-0.263671875,-6960,-0.849609375,896,82,81,48,-5208,3060,-13548,62544,781,20.625,-0.001953125,19:49:19,"Right turn",NA,0
"136",19.817,-0.6245141893,110,263,1174,2480,0.302734375,-1968,-0.240234375,-7264,-0.88671875,896,-137,-12,96,-6080,5120,-14644,62528,695,20.625,0.049479167,19:49:20,"Right turn",NA,0
"137",19.81701667,-0.6186024626,107,260,1180,3104,0.37890625,-1616,-0.197265625,-7696,-0.939453125,896,-132,-44,14,-6080,5204,-14252,62560,683,20.625,0.141276042,19:49:21,"Right turn",NA,0
"138",19.81703333,-0.6283047649,111,261,1180,2768,0.337890625,-2352,-0.287109375,-7376,-0.900390625,896,-47,-27,-91,-5136,5156,-14128,62544,623,20.6875,0.038411458,19:49:22,"Right turn",NA,0
"139",19.81705,-0.6373654845,116,261,1197,1920,0.234375,-3600,-0.439453125,-6704,-0.818359375,896,8,50,-10,-4120,6464,-13156,62544,544,20.6875,-0.054036458,19:49:23,"Right turn",NA,0
"140",19.81706667,-0.6196172108,125,262,1202,1552,0.189453125,-2912,-0.35546875,-6944,-0.84765625,896,-91,34,31,-4484,8884,-13880,62528,471,20.6875,0.022786458,19:49:24,"Left turn",NA,0
"141",19.81708333,-0.6395651968,126,265,1198,1584,0.193359375,-2928,-0.357421875,-6816,-0.83203125,896,73,-23,-128,-2464,7248,-13496,62560,479,20.6875,0.009765625,19:49:25,"Left turn",NA,0
"142",19.8171,-0.6285404484,126,268,1204,1744,0.212890625,-3744,-0.45703125,-7728,-0.943359375,896,-26,10,106,-2828,6336,-14656,62544,471,20.6875,-0.099609375,19:49:26,"Left turn",NA,0
"143",19.81711667,-0.6205141173,123,264,1201,1600,0.1953125,-3584,-0.4375,-7040,-0.859375,896,-37,73,-76,-4444,9628,-14440,62592,511,20.6875,-0.033854167,19:49:27,"Left turn",NA,0
"144",19.81713333,-0.6293129664,129,273,1194,1360,0.166015625,-3520,-0.4296875,-7072,-0.86328125,896,-87,209,-80,-1936,3808,-14248,62528,508,20.6875,-0.106119792,19:49:28,"Left turn",NA,0
"145",19.81715,-0.6266287937,126,274,1184,2032,0.248046875,-2496,-0.3046875,-7024,-0.857421875,896,-139,62,-34,-4920,5564,-15452,62576,500,20.6875,0.059895833,19:49:29,"Left turn",NA,0
"146",19.81716667,-0.6239511677,143,281,1179,1264,0.154296875,-2416,-0.294921875,-7328,-0.89453125,896,78,245,-115,-1944,5332,-14424,62576,437,20.75,-0.014322917,19:49:30,"Left turn",NA,0
"147",19.81718333,-0.6175746209,152,285,1181,1072,0.130859375,-3136,-0.3828125,-7920,-0.966796875,896,44,-172,177,-1032,6440,-13332,62592,379,20.75,0.028645833,19:49:31,"Left turn",NA,0
"148",19.8172,-0.618923254,149,279,1195,1632,0.19921875,-3072,-0.375,-7728,-0.943359375,896,54,-275,-530,-3080,3056,-12336,62592,356,20.75,0.037109375,19:49:32,"Left turn",NA,0
"149",19.81721667,-0.6365929665,138,268,1087,2016,0.24609375,1440,0.17578125,-6992,-0.853515625,896,170,125,-171,-3500,-1952,-12948,62576,858,20.75,0.107421875,19:49:33,"Right turn",NA,0
"150",19.81723333,-0.6412280745,162,282,1087,688,0.083984375,144,0.017578125,-7728,-0.943359375,896,-68,-67,-133,-1636,368,-14984,62592,794,20.75,0.005208333,19:49:34,"Right turn",NA,0
"151",19.81725,-0.6462821753,155,258,1051,1344,0.1640625,1328,0.162109375,-8144,-0.994140625,896,308,-330,50,-3076,-2116,-15564,62592,904,20.8125,0.0546875,19:49:35,"Right turn",NA,0
"152",19.81726667,-0.6295290096,118,242,1022,2896,0.353515625,2128,0.259765625,-7616,-0.9296875,896,-35,-42,-25,-6376,-3760,-16056,62576,1264,20.8125,-0.083333333,19:49:36,"Right turn",NA,0
"153",19.81728333,-0.6536210963,120,236,1013,2464,0.30078125,2352,0.287109375,-7792,-0.951171875,896,-37,-186,-44,-4724,-4044,-15128,62576,3500,20.8125,0.022135417,19:49:37,"Right turn",NA,0
"154",19.8173,-0.6259806642,128,247,1026,2848,0.34765625,1968,0.240234375,-7792,-0.951171875,896,32,58,-67,-5508,-4496,-15980,62592,1132,20.8125,-0.012369792,19:49:38,"Right turn",NA,0
"155",19.81731667,-0.6385897292,135,250,1020,2528,0.30859375,1856,0.2265625,-7872,-0.9609375,896,-130,-183,-107,-5124,-3216,-15368,62560,1090,20.8125,-0.016927083,19:49:39,"Right turn",NA,0
"156",19.81733333,-0.6519974992,134,251,1025,3072,0.375,1440,0.17578125,-6880,-0.83984375,896,-93,-13,-152,-6432,-2452,-13588,62608,1228,20.8125,-0.024739583,19:49:40,"Right turn",NA,0
"157",19.81735,-0.6491234704,136,249,1019,3424,0.41796875,1616,0.197265625,-7456,-0.91015625,896,-136,-10,-121,-7180,-2908,-14804,62608,1358,20.875,0.0078125,19:49:41,"Straight swim",NA,0
"158",19.81736667,-0.6385635421,142,255,1019,3728,0.455078125,1456,0.177734375,-7360,-0.8984375,896,-81,-90,-182,-7436,-2484,-14552,62592,1360,20.875,0.020833333,19:49:42,"Straight swim",NA,0
"159",19.81738333,-0.6502233265,161,265,1024,3616,0.44140625,1632,0.19921875,-6848,-0.8359375,896,-117,-70,-298,-6980,-2892,-12888,62608,1266,20.875,0.020182292,19:49:43,"Straight swim",NA,0
"160",19.8174,-0.6346944053,186,275,1029,3456,0.421875,1440,0.17578125,-7024,-0.857421875,896,-79,9,-273,-6836,-2584,-14068,62608,1185,20.875,0.001953125,19:49:44,"Left turn",NA,0
"161",19.81741667,-0.6494049812,212,293,1051,2640,0.322265625,928,0.11328125,-7312,-0.892578125,896,-375,50,-295,-4596,-1192,-14060,62640,959,20.875,-0.017578125,19:49:45,"Left turn",NA,0
"162",19.81743333,-0.6418107364,235,304,1105,2528,0.30859375,-208,-0.025390625,-8128,-0.9921875,896,-332,369,-178,-5016,1156,-15720,62624,983,20.875,-0.000651042,19:49:46,"Left turn",NA,0
"163",19.81745,-0.6307270671,266,304,1145,2224,0.271484375,-560,-0.068359375,-8256,-1.0078125,896,-170,131,-2,-4352,2300,-16164,62608,806,20.875,-0.022135417,19:49:47,"Straight swim",NA,0
"164",19.81746667,-0.646125053,319,288,1159,320,0.0390625,-528,-0.064453125,-8064,-0.984375,896,549,-41,-412,-1124,1624,-15712,62608,1003,20.875,0.038411458,19:49:48,"Right turn",NA,0
"165",19.81748333,-0.6321542614,278,299,1165,1584,0.193359375,-32,-0.00390625,-7984,-0.974609375,896,-7,-225,-153,-3392,404,-16292,62592,3500,20.875,-0.026041667,19:49:49,"Right turn",NA,0
"166",19.8175,-0.628055988,256,302,1167,2496,0.3046875,-96,-0.01171875,-8736,-1.06640625,896,23,107,-151,-5012,776,-17356,62592,1203,20.875,-0.085286458,19:49:50,"Right turn",NA,0
"167",19.81751667,-0.6322917434,290,298,1167,480,0.05859375,976,0.119140625,-8448,-1.03125,896,-154,220,-127,-1288,-1224,-16140,62640,3500,20.8125,0.01171875,19:49:51,"Straight swim",NA,0
