"","Segment","Start","End","StartNew","EndNew"
"1",1,2019-03-27 19:22:57,2019-03-27 19:23:45,79,127
"2",2,2019-03-27 19:37:09,2019-03-27 19:38:09,931,991
"3",3,2019-03-27 19:41:34,2019-03-27 19:42:33,1196,1255
"4",4,2019-03-27 20:12:57,2019-03-27 20:14:26,3079,3168
"5",5,2019-03-27 20:16:30,2019-03-27 20:17:25,3292,3347
"6",6,2019-03-27 20:21:09,2019-03-27 20:22:27,3571,3649
"7",7,2019-03-27 20:28:02,2019-03-27 20:31:01,3984,4163
"8",8,2019-03-27 20:36:11,2019-03-27 20:37:42,4473,4564
"9",9,2019-03-27 20:45:13,2019-03-27 20:49:56,5015,5298
"10",10,2019-03-27 20:51:15,2019-03-27 20:52:21,5377,5443
"11",11,2019-03-27 20:58:04,2019-03-27 20:58:17,5786,5799
"12",12,2019-03-27 21:13:19,2019-03-27 21:14:35,6701,6777
"13",13,2019-03-27 21:16:54,2019-03-27 21:17:44,6916,6966
"14",14,2019-03-27 21:29:11,2019-03-27 21:29:54,7653,7696
"15",15,2019-03-27 21:32:30,2019-03-27 21:33:39,7852,7921
"16",16,2019-03-27 21:36:18,2019-03-27 21:36:49,8080,8111
"17",17,2019-03-27 21:56:56,2019-03-27 21:57:21,9318,9343
